gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,math_score_original,reading_score_original,writing_score_original,gender_original,race/ethnicity_original,parental_level_of_education_original,lunch_original,test_preparation_course_original,math_score_binned
0,1,1,1,1,0.3701309159652094,0.16376092136377138,0.37115191608077835,72,72,74,female,group B,bachelor's degree,standard,none,1
0,2,4,1,0,0.1608311168015522,1.4583840092765625,1.3420408775321837,69,90,88,female,group C,some college,standard,completed,1
0,1,3,1,1,1.6259297109471527,1.8180015336967823,1.6887869351934,90,95,93,female,group B,master's degree,standard,none,2
1,0,0,0,1,-1.3740340770652673,-0.9150916518968879,-1.7093244298865187,47,57,44,male,group A,associate's degree,free/reduced,none,0
1,2,4,1,1,0.6491973148500857,0.5953019506680352,0.4405011276130216,76,78,75,male,group C,some college,standard,none,1
0,1,0,1,1,0.30036431624399035,0.9549194750882549,0.6485487622097513,71,83,78,female,group B,associate's degree,standard,none,1
0,1,4,1,0,1.4863965115047144,1.8180015336967823,1.6194377236611566,88,95,92,female,group B,some college,standard,completed,2
1,1,4,0,1,-1.8624002751138007,-1.9220207202735033,-2.0560704875477347,40,43,39,male,group B,some college,free/reduced,none,0
1,3,2,0,0,-0.18800188180454314,-0.41162711770858024,-0.11429256464492427,64,64,67,male,group D,high school,free/reduced,completed,1
0,1,2,0,1,-2.001933474556239,-0.6993211372447561,-1.2932291606930593,38,60,50,female,group B,high school,free/reduced,none,0
1,2,0,1,1,-0.6066014801318576,-1.1308621665490197,-1.1545307376285727,58,54,52,male,group C,associate's degree,standard,none,0
1,3,0,1,1,-1.8624002751138007,-1.2747091763171077,-1.7786736414187618,40,52,43,male,group D,associate's degree,standard,none,0
0,1,2,1,1,-0.11823528208332405,0.811072465320167,0.30180270454853514,65,81,73,female,group B,high school,standard,none,1
1,0,4,1,0,0.7887305142925238,0.16376092136377138,0.09375506995180544,78,72,70,male,group A,some college,standard,completed,1
0,0,3,1,1,-1.16473427790161,-1.2027856714330638,-0.7384354684351134,50,53,58,female,group A,master's degree,standard,none,0
0,2,5,1,1,0.1608311168015522,0.3795314360159032,0.6485487622097513,69,75,78,female,group C,some high school,standard,none,1
1,2,2,1,1,1.4863965115047144,1.3864605043925187,1.2033424544676972,88,89,86,male,group C,high school,standard,none,2
1,2,3,0,0,-1.4438006767864864,-1.9939442251575472,-1.5706260068220321,46,42,46,male,group C,master's degree,free/reduced,completed,0
0,2,0,0,1,-0.8856678790167338,-0.843168147012844,-0.5303878338383837,54,58,61,female,group C,associate's degree,free/reduced,none,0
1,3,2,1,1,-0.04846868236210499,-0.05200959328836049,-0.39168941077389724,66,69,63,male,group D,high school,standard,none,1
0,1,4,0,0,-0.11823528208332405,0.3795314360159032,0.09375506995180544,65,75,70,female,group B,some college,free/reduced,completed,1
1,3,4,1,1,-1.5833338762289244,-1.1308621665490197,-1.0851815260963296,44,54,53,male,group D,some college,standard,none,0
0,2,5,1,1,0.1608311168015522,0.23568442624781533,0.30180270454853514,69,73,73,female,group C,some high school,standard,none,1
1,3,1,0,0,0.5096641154076476,0.09183741647972742,0.7872471852742378,74,71,80,male,group D,bachelor's degree,free/reduced,completed,1
1,0,3,0,1,0.4398975156864285,0.3076079311318593,0.2324534930162919,73,74,72,male,group A,master's degree,free/reduced,none,1
1,1,4,1,1,0.1608311168015522,-1.1308621665490197,-0.9464831030318431,69,54,55,male,group B,some college,standard,none,1
0,2,1,1,1,0.02129791735911408,-0.05200959328836049,0.4405011276130216,67,69,75,female,group C,bachelor's degree,standard,none,1
1,2,2,1,1,0.23059771652277128,0.019913911595683467,-0.25299098770941075,70,70,65,male,group C,high school,standard,none,1
0,3,3,1,1,-0.3275350812469813,0.019913911595683467,0.4405011276130216,62,70,75,female,group D,master's degree,standard,none,1
0,3,4,1,1,0.1608311168015522,0.3076079311318593,0.37115191608077835,69,74,74,female,group D,some college,standard,none,1
